tenure_years,department,role_level,overtime_hours_monthly,absence_rate,leave_utilization_rate,months_since_promotion,salary_percentile_in_dept,job_satisfaction,attrited
4.2,Finance,3,11.8,0.0325,0.8254,7.2,38.3,3,0
1.91,Sales,2,4.2,0.0638,0.2571,27.1,74.1,5,0
8.99,Engineering,3,17.7,0.0291,0.7385,3.5,23.4,1,0
1.99,Operations,1,0.7,0.0682,0.6815,8.1,65.5,3,0
0.94,Operations,5,8.9,0.0153,0.8225,18.7,95.6,5,0
3.42,Operations,1,12.0,0.0355,0.8905,36.0,53.8,4,1
6.42,Finance,2,9.8,0.0313,0.8973,5.7,27.0,3,0
1.09,Operations,4,7.7,0.0498,0.873,6.7,94.0,5,0
3.13,HR,1,7.0,0.0623,0.3538,43.8,91.6,4,0
1.4,Engineering,1,7.9,0.0466,0.1976,31.2,62.4,5,0
0.12,Sales,2,3.1,0.0266,0.5914,11.0,75.1,4,0
0.97,Sales,2,9.7,0.02,0.4776,10.2,75.2,1,1
4.1,HR,4,4.2,0.0402,0.7656,16.5,44.5,5,0
4.92,Operations,3,5.0,0.0196,0.7047,19.6,26.5,5,0
0.93,Sales,2,2.8,0.0105,0.7685,2.2,6.7,4,0
3.48,Finance,5,43.6,0.0269,0.8573,1.3,4.7,2,0
1.96,Sales,2,9.2,0.0601,0.6146,46.9,5.3,5,0
3.25,Finance,4,2.3,0.0259,0.6553,55.5,23.9,4,1
0.14,Finance,1,8.5,0.0203,0.4568,11.1,11.3,1,0
0.55,Engineering,2,17.6,0.037,0.4237,19.0,4.8,3,1
0.76,HR,1,9.6,0.0263,0.5436,19.5,58.3,5,0
1.2,Engineering,1,7.5,0.0438,0.8394,18.9,34.0,4,1
1.92,Operations,3,3.9,0.0377,0.4341,11.5,99.9,4,0
1.99,Marketing,1,9.7,0.0115,0.917,4.9,66.8,4,0
1.95,Operations,2,13.4,0.0242,0.6948,35.0,93.9,4,0
0.49,Operations,3,13.5,0.0148,0.5215,2.4,6.5,4,0
10.12,Sales,1,9.0,0.0687,0.593,13.3,26.2,2,1
1.47,Marketing,2,9.0,0.0115,0.4616,25.8,78.1,3,0
2.81,Engineering,3,19.6,0.0553,0.6309,3.5,61.8,5,1
6.94,Operations,4,18.2,0.0355,0.3225,10.5,36.2,3,1
0.48,Marketing,1,6.7,0.0061,0.8759,11.5,84.1,3,0
2.93,Marketing,5,25.4,0.0085,0.3238,47.4,50.0,2,1
1.74,Operations,3,2.3,0.0116,0.8691,5.8,91.6,5,0
5.87,Operations,3,9.3,0.0464,0.8377,0.3,54.7,3,1
2.31,Operations,2,10.0,0.0519,0.5945,15.6,58.8,4,0
1.51,Engineering,3,3.7,0.0154,0.8587,26.1,31.0,3,0
0.05,Engineering,3,1.8,0.0156,0.4898,42.4,8.0,3,1
9.46,Operations,1,3.8,0.1412,0.4268,8.9,1.3,2,1
0.4,Sales,5,15.3,0.1703,0.8183,13.7,28.9,5,1
3.42,HR,4,15.7,0.0255,0.5134,2.0,85.0,3,0
1.3,Engineering,2,12.9,0.0873,0.3468,14.1,33.8,3,1
11.53,Finance,3,4.3,0.0776,0.7545,2.0,83.4,2,0
0.58,Marketing,2,15.8,0.008,0.888,0.0,99.1,4,0
9.49,Operations,3,4.6,0.0918,0.5977,45.6,43.1,1,0
14.48,Finance,3,9.7,0.0145,0.6053,13.7,43.6,4,0
1.11,Finance,1,7.9,0.0432,0.5465,11.3,85.1,4,0
0.39,Finance,1,5.8,0.0104,0.5672,13.8,56.0,4,0
3.72,HR,1,12.4,0.0221,0.3647,40.8,83.2,1,1
1.07,Finance,4,14.2,0.0536,0.3127,21.0,70.2,4,0
1.37,Operations,2,4.1,0.0505,0.6037,60.0,37.5,1,1
4.73,Sales,4,8.2,0.0475,0.1113,21.0,64.6,5,0
7.42,HR,2,13.7,0.0716,0.6416,7.6,2.8,4,0
3.25,Finance,1,0.3,0.0216,0.8276,11.7,50.1,2,0
5.75,Finance,4,10.7,0.0524,0.5067,17.4,9.0,4,1
0.43,Engineering,2,13.9,0.0041,0.5089,36.1,55.2,5,0
8.76,Sales,2,11.0,0.0949,0.7598,21.2,81.2,2,0
0.48,Finance,1,11.4,0.095,0.194,6.3,16.0,1,1
0.42,Marketing,1,7.4,0.0657,0.9362,16.0,39.5,3,0
1.07,Marketing,1,13.3,0.0772,0.6,14.0,54.6,2,1
2.62,Operations,2,2.6,0.0671,0.491,17.3,20.2,4,0
0.64,Marketing,2,3.8,0.0333,0.6397,5.1,3.3,5,1
9.02,Finance,1,11.3,0.0762,0.6589,39.4,0.1,3,1
0.88,Sales,1,13.3,0.0095,0.8328,6.2,25.5,5,1
7.51,HR,1,17.7,0.0224,0.6181,2.6,30.7,2,1
8.74,Marketing,2,22.9,0.0151,0.3065,10.1,46.5,5,1
1.99,HR,5,4.4,0.0185,0.7167,2.5,84.8,3,0
7.86,Marketing,2,3.1,0.0573,0.8124,11.5,41.6,5,0
5.83,Engineering,1,15.1,0.0405,0.8024,6.5,8.3,5,1
1.83,Engineering,2,5.6,0.0418,0.2342,12.6,32.7,3,1
5.87,Sales,4,7.7,0.0312,0.2841,7.6,30.6,1,1
4.03,Sales,3,14.0,0.0126,0.8409,5.8,57.0,3,0
1.16,Finance,3,9.3,0.0698,0.7781,21.0,64.9,3,0
13.01,Finance,4,13.0,0.0282,0.7602,0.3,0.1,5,0
3.4,Finance,2,4.0,0.1015,0.7616,20.0,54.0,4,0
6.54,Sales,5,10.1,0.0584,0.5587,11.4,24.6,4,0
1.97,Finance,1,9.9,0.0305,0.441,33.0,76.2,4,0
3.74,Engineering,3,17.4,0.0301,0.4936,11.5,33.7,3,1
0.99,HR,4,20.1,0.0981,0.7486,16.6,91.6,4,1
1.28,Engineering,4,5.5,0.0891,0.313,13.7,39.7,3,0
5.02,Engineering,2,3.4,0.049,0.7469,24.3,35.0,4,0
7.12,Engineering,3,13.5,0.0212,0.9787,18.2,13.4,4,1
14.35,Engineering,1,1.6,0.1024,0.6243,60.0,17.5,4,1
2.45,HR,2,14.2,0.0043,0.6497,0.6,67.4,2,0
0.1,Finance,2,15.0,0.0278,0.5058,60.0,57.1,4,1
0.64,Finance,2,5.1,0.0256,0.7648,17.1,55.0,2,0
0.67,HR,3,0.5,0.0161,0.769,43.4,13.3,3,1
11.68,Sales,1,16.1,0.0517,0.4993,14.7,10.6,4,1
1.31,Engineering,1,21.1,0.0327,0.6657,6.8,43.8,3,1
1.36,Marketing,1,20.1,0.0573,0.6299,13.4,95.3,1,0
9.49,Operations,3,20.6,0.032,0.394,5.8,42.0,5,0
2.77,Sales,3,2.4,0.0349,0.5131,3.5,90.4,2,0
1.51,Sales,3,8.4,0.0451,0.3848,60.0,96.8,3,1
0.11,Sales,1,9.9,0.0642,0.2957,24.6,11.1,3,1
0.35,Sales,3,8.8,0.0748,0.7573,5.2,92.4,3,0
0.86,Sales,3,13.1,0.0107,0.6937,24.0,72.1,1,1
0.94,HR,1,3.2,0.004,0.1128,11.5,9.5,3,0
2.12,Marketing,1,1.6,0.0241,0.6568,60.0,72.8,2,0
3.17,Marketing,2,1.1,0.0173,0.7812,1.9,49.3,2,0
0.98,Operations,2,16.3,0.021,0.3396,34.1,14.0,2,1
3.04,HR,1,2.4,0.0381,0.6776,40.8,23.8,5,1
1.96,HR,1,8.8,0.0863,0.9764,14.0,70.8,2,0
6.23,HR,1,4.9,0.0029,0.9234,0.6,31.9,3,0
2.68,Engineering,1,5.1,0.014,0.6528,9.3,95.2,4,0
2.45,HR,1,6.9,0.033,0.5574,11.7,82.0,1,0
1.69,Sales,3,5.3,0.0056,0.6179,11.4,55.4,4,0
2.34,HR,2,1.6,0.1255,0.3099,60.0,62.6,3,1
1.28,Engineering,2,6.9,0.1842,0.8888,8.2,91.9,5,0
1.01,Marketing,3,4.1,0.0148,0.5869,28.8,32.1,2,1
3.03,Operations,2,3.9,0.0181,0.7254,19.5,80.9,1,1
1.42,Operations,1,25.2,0.0387,0.4698,60.0,44.9,2,1
1.36,Engineering,1,2.0,0.0709,0.8432,1.4,87.1,3,0
11.17,Engineering,1,6.6,0.0483,0.8252,14.4,6.5,2,1
4.05,Operations,2,9.4,0.0844,0.6335,28.1,71.8,4,1
1.78,Operations,2,25.2,0.1419,0.7061,1.2,80.9,4,1
3.88,Finance,2,2.9,0.0388,0.6301,31.9,61.3,4,0
6.3,Sales,2,19.4,0.0444,0.5968,3.7,29.4,3,1
13.85,Finance,5,6.8,0.0116,0.6938,25.0,14.8,3,0
2.92,Finance,1,7.0,0.0111,0.4541,52.8,73.9,2,1
0.2,Operations,2,12.5,0.0289,0.7078,7.3,12.8,5,1
2.51,Finance,2,21.5,0.0354,0.6759,0.1,84.4,3,1
0.3,Engineering,3,5.3,0.0592,0.1339,28.1,50.1,5,0
11.96,Marketing,3,9.9,0.0266,0.3709,17.9,38.2,5,0
0.55,Marketing,3,8.9,0.0131,0.9371,25.5,23.7,3,0
0.25,Sales,1,8.6,0.0258,0.7425,0.5,1.6,5,0
8.09,Engineering,2,14.1,0.0425,0.4199,3.8,90.5,5,0
2.02,Engineering,3,4.3,0.1007,0.8888,17.1,60.4,4,0
2.52,Operations,2,5.9,0.0627,0.3777,3.1,70.1,5,0
2.05,HR,5,1.6,0.1002,0.5395,0.9,97.4,3,0
9.29,Finance,2,11.8,0.0319,0.5908,59.8,21.9,4,1
3.05,Operations,2,8.3,0.0256,0.5716,7.1,6.3,3,0
2.25,Engineering,2,21.2,0.0139,0.9021,10.6,48.5,5,0
0.4,Sales,2,2.8,0.0606,0.3809,15.4,42.1,4,1
10.25,Marketing,3,27.4,0.0147,0.8018,5.9,6.4,2,1
0.92,Finance,1,13.3,0.0553,0.6036,23.1,47.2,4,1
9.67,Engineering,2,12.9,0.0167,0.5163,0.5,54.1,4,0
0.17,Marketing,2,4.8,0.0556,0.6623,7.4,11.7,5,0
7.15,Engineering,4,6.4,0.1012,0.8555,53.4,69.5,1,0
1.96,Marketing,2,5.5,0.0223,0.7427,5.6,34.6,4,0
15.17,Marketing,5,18.6,0.0078,0.7504,4.2,56.4,4,0
6.22,Marketing,4,1.4,0.1001,0.9117,1.9,63.7,4,0
0.45,HR,1,7.2,0.0389,0.8795,3.5,35.8,4,0
0.48,Sales,4,7.6,0.0509,0.8364,4.7,73.5,3,0
1.38,Operations,5,5.4,0.0353,0.7072,60.0,65.5,1,0
12.26,Finance,1,3.5,0.0439,0.9417,4.3,5.8,3,0
3.14,Finance,2,0.7,0.0168,0.3705,28.6,13.4,4,1
3.09,Engineering,1,7.2,0.0117,0.7302,3.3,4.5,1,0
6.24,Finance,2,11.8,0.0767,0.5492,5.3,87.0,5,0
4.31,Finance,1,8.3,0.0077,0.7015,25.8,34.9,3,0
4.16,Sales,3,3.5,0.0275,0.7714,1.7,53.1,1,1
6.71,Marketing,2,7.7,0.0398,0.4116,14.1,52.8,5,1
2.97,Engineering,2,21.3,0.0466,0.8202,13.4,47.3,2,1
4.62,Marketing,1,4.5,0.1107,0.6326,3.8,40.0,1,0
1.74,Operations,3,9.2,0.0409,0.3126,16.8,34.5,1,1
2.64,Finance,2,10.2,0.0679,0.8452,16.0,25.9,4,0
3.4,Engineering,2,2.2,0.1108,0.8604,9.9,23.6,3,0
1.76,Finance,1,6.1,0.0559,0.1589,6.3,64.6,5,1
6.04,Finance,1,6.2,0.0342,0.5651,1.6,70.3,4,0
8.34,Finance,2,8.0,0.0171,0.1304,37.2,24.4,3,1
0.64,Sales,4,18.2,0.0061,0.973,7.3,13.7,4,0
6.44,Finance,1,2.7,0.0799,0.6569,3.9,77.2,5,0
0.24,Sales,3,19.0,0.0167,0.792,60.0,7.4,5,1
0.82,Finance,1,12.4,0.0638,0.6595,45.5,55.2,2,1
2.96,Finance,3,27.9,0.0574,0.5758,14.6,48.6,5,0
6.76,Finance,1,1.0,0.0075,0.5828,12.7,69.6,3,0
12.79,Marketing,2,38.2,0.0875,0.6389,8.0,79.6,3,1
3.65,Operations,2,2.1,0.0213,0.4747,14.6,92.2,4,0
0.21,Marketing,1,3.8,0.004,0.9091,9.6,27.4,4,0
5.34,Marketing,1,3.8,0.0406,0.4432,24.1,3.8,3,1
0.81,Operations,2,12.0,0.0167,0.5378,60.0,56.9,4,0
0.88,Sales,2,6.6,0.0512,0.8402,10.1,38.3,2,0
0.33,Sales,5,4.3,0.0459,0.6804,0.3,44.4,3,0
2.32,Finance,2,24.5,0.0031,0.5697,23.1,84.1,5,0
1.41,HR,4,0.8,0.0169,0.3797,44.4,36.1,3,0
7.16,Marketing,2,15.9,0.1353,0.4688,1.7,53.9,4,0
4.43,Engineering,1,7.5,0.0394,0.6283,60.0,13.6,1,1
1.54,Engineering,1,4.3,0.0503,0.4345,22.8,79.3,1,0
1.27,Marketing,2,4.7,0.0108,0.2206,3.4,49.0,1,1
2.51,Marketing,1,6.1,0.0058,0.7543,24.6,32.6,4,0
1.01,Sales,4,3.9,0.0409,0.3353,2.8,43.7,1,0
0.18,Sales,3,14.2,0.0237,0.5038,1.9,24.0,4,1
1.54,Finance,2,5.6,0.0223,0.4778,7.6,56.2,3,0
1.01,HR,2,12.7,0.0485,0.7316,2.7,22.6,2,1
4.58,Sales,2,4.8,0.0281,0.5449,36.5,35.9,4,0
3.7,Finance,2,9.1,0.044,0.7843,2.0,8.7,4,0
0.9,Marketing,1,9.1,0.1682,0.5857,13.4,30.0,5,1
6.98,Marketing,1,8.0,0.089,0.6384,3.6,38.2,4,0
2.89,Marketing,1,19.4,0.016,0.8742,12.7,77.8,3,0
10.55,Finance,1,20.7,0.0071,0.7608,14.4,64.9,2,0
5.21,Operations,3,13.6,0.07,0.7503,6.8,11.8,4,0
8.13,Sales,1,16.8,0.003,0.5705,18.5,60.2,3,1
11.12,Engineering,1,13.1,0.0091,0.9667,15.1,44.3,2,1
1.81,Engineering,4,5.3,0.0647,0.442,33.3,41.6,4,0
3.85,Operations,5,7.0,0.0838,0.9453,24.5,10.4,4,0
0.61,Finance,2,1.0,0.0247,0.2984,12.5,58.5,3,0
0.97,Sales,2,3.3,0.0658,0.4089,26.2,17.5,4,1
0.8,Operations,3,2.1,0.0193,0.5574,15.6,27.9,1,0
2.16,Sales,1,4.2,0.007,0.4978,2.8,82.0,4,0
4.36,Finance,2,9.7,0.045,0.8053,0.4,5.7,2,1
2.95,Sales,1,5.1,0.1094,0.9507,4.7,78.0,4,0
0.1,Engineering,2,14.6,0.0453,0.8919,13.0,39.0,3,1
0.85,Sales,5,3.4,0.045,0.8361,15.9,28.5,2,1
4.37,Sales,3,12.3,0.0973,0.7459,1.0,50.4,1,1
3.55,Finance,5,3.2,0.0143,0.5527,33.8,26.6,5,0
1.12,Engineering,3,18.5,0.0134,0.7171,24.8,84.3,5,1
1.28,Sales,2,3.4,0.0642,0.4985,51.7,4.5,3,1
5.28,Finance,3,11.0,0.0356,0.8046,9.8,67.1,4,0
2.57,HR,3,4.3,0.0414,0.4607,25.8,80.6,5,0
3.18,Finance,2,22.9,0.0277,0.3696,11.0,21.5,1,1
1.99,Finance,1,22.2,0.0037,0.6465,12.4,77.1,4,0
4.77,Operations,2,10.8,0.0192,0.6317,25.7,45.1,3,0
7.8,Operations,1,10.6,0.0158,0.4342,33.5,98.9,2,0
11.74,Sales,2,13.9,0.0894,0.9073,20.5,37.7,3,0
3.93,Marketing,1,12.2,0.0367,0.3032,3.1,32.2,5,0
1.81,Finance,2,15.2,0.1253,0.6313,15.2,89.3,4,1
0.55,Finance,1,3.4,0.1048,0.6937,20.1,66.0,4,0
0.13,Marketing,1,8.0,0.048,0.5048,45.7,77.2,4,0
10.82,Engineering,2,4.6,0.0347,0.533,22.2,41.6,3,0
4.73,HR,1,22.0,0.1098,0.8019,7.2,49.2,4,1
1.74,Marketing,5,2.5,0.0201,0.384,22.4,98.2,4,0
3.35,Operations,2,24.7,0.0424,0.4185,27.8,54.0,3,1
6.61,Engineering,2,8.1,0.075,0.3075,60.0,74.7,2,1
13.6,HR,1,15.4,0.0289,0.6064,46.7,97.9,1,1
0.77,Sales,3,5.1,0.0267,0.7505,8.8,72.7,4,0
3.17,Sales,2,2.3,0.0623,0.7074,20.2,71.5,4,1
5.57,Engineering,2,21.4,0.0779,0.8271,19.1,11.6,3,1
16.27,Finance,1,11.5,0.1007,0.8238,3.8,21.2,2,1
4.97,Marketing,3,2.7,0.0397,0.309,2.8,78.2,4,0
3.42,Finance,4,7.3,0.054,0.6991,21.4,98.3,3,0
4.04,HR,2,6.8,0.0734,0.8661,22.6,43.4,4,1
1.24,Marketing,1,11.2,0.0595,0.924,22.0,76.2,4,1
4.02,Finance,1,3.3,0.0524,0.1285,7.6,1.1,5,1
6.94,Operations,1,2.7,0.0457,0.6576,2.4,12.4,1,1
1.08,HR,3,8.8,0.0184,0.5242,7.3,7.9,4,0
9.42,Sales,5,3.5,0.0138,0.6627,60.0,10.6,4,0
0.39,HR,5,21.9,0.0906,0.3954,5.0,5.8,3,1
1.71,Finance,3,14.4,0.062,0.6422,15.7,2.5,4,1
0.63,HR,1,14.1,0.0402,0.8132,4.9,67.1,3,1
0.3,Marketing,5,0.9,0.0224,0.5793,10.5,44.0,4,0
12.87,Engineering,1,5.3,0.0628,0.6386,7.3,54.2,4,0
1.11,Finance,1,6.2,0.1393,0.4718,29.9,34.1,5,0
2.52,HR,3,3.0,0.0047,0.4091,4.4,40.1,5,0
3.44,Sales,1,12.2,0.031,0.6484,0.8,16.0,5,0
0.49,Finance,3,11.0,0.0128,0.5985,16.7,64.2,4,0
1.21,Marketing,5,13.7,0.0136,0.5394,8.8,13.3,4,0
1.14,Finance,3,16.6,0.0829,0.842,17.0,88.1,4,0
1.3,Engineering,3,16.0,0.0647,0.7581,20.0,28.2,4,1
2.31,Engineering,2,40.3,0.0238,0.7509,27.7,26.1,5,1
1.42,HR,1,7.8,0.0092,0.496,6.7,19.7,3,0
5.9,Marketing,3,6.8,0.0515,0.8573,60.0,10.7,4,1
2.52,Sales,2,12.1,0.0642,0.5361,0.6,25.1,2,1
1.83,Sales,4,18.6,0.027,0.7062,28.8,99.8,2,0
0.91,Operations,1,1.6,0.0431,0.8049,13.8,2.4,4,0
5.03,Engineering,1,4.0,0.0301,0.3829,7.2,49.3,4,0
1.7,Engineering,2,4.9,0.094,0.4012,1.8,35.4,3,0
1.72,Engineering,3,8.4,0.067,0.4596,0.2,77.8,3,0
11.65,Operations,3,5.3,0.0743,0.7146,7.1,61.5,3,0
0.21,HR,5,16.7,0.0695,0.9412,15.0,3.0,4,1
1.84,Engineering,1,9.3,0.1036,0.3558,13.4,8.0,1,1
3.23,Sales,2,7.2,0.0538,0.6394,2.0,65.8,4,0
4.83,Operations,1,11.1,0.0354,0.3699,4.8,69.0,3,0
4.63,Marketing,1,1.1,0.0367,0.7351,15.0,63.8,4,0
1.14,Sales,2,10.7,0.0281,0.6694,10.4,65.5,1,1
0.03,Sales,2,3.6,0.123,0.7305,41.1,83.5,3,1
3.87,Engineering,2,14.7,0.0408,0.6228,33.0,38.3,3,0
3.12,Marketing,2,1.4,0.0671,0.3185,6.5,31.9,4,0
0.32,Engineering,2,11.7,0.0306,0.5035,15.5,82.1,5,0
2.47,Sales,3,3.7,0.0756,0.4662,29.1,33.3,4,1
0.72,HR,1,18.9,0.0466,0.7963,6.9,95.9,5,0
0.42,Finance,1,1.8,0.0301,0.2494,50.7,72.1,4,0
2.99,Finance,3,8.2,0.0785,0.9138,20.5,70.2,2,1
3.92,Marketing,3,13.2,0.0106,0.587,5.6,90.7,4,0
3.39,Sales,3,10.3,0.0136,0.5618,6.1,76.7,4,0
1.29,HR,1,10.2,0.0842,0.5973,18.8,4.3,4,1
3.24,HR,2,2.5,0.0249,0.4654,5.4,45.8,5,0
2.14,Engineering,4,2.3,0.0553,0.8026,27.0,37.8,4,0
2.52,Marketing,2,9.9,0.0171,0.8656,60.0,42.5,4,1
4.46,Finance,2,8.8,0.0158,0.5934,3.0,28.2,2,0
3.17,HR,5,3.2,0.0284,0.7264,6.4,22.1,1,1
3.49,Operations,1,3.0,0.0167,0.4236,3.6,54.3,1,0
5.75,Sales,3,7.3,0.0164,0.2271,12.5,74.3,2,0
1.62,Operations,4,5.8,0.0369,0.2676,20.1,18.4,4,0
2.6,Marketing,1,27.2,0.0995,0.491,1.9,27.6,2,1
3.63,Sales,3,19.7,0.0307,0.4726,6.2,66.5,2,1
6.23,Marketing,2,14.3,0.015,0.6814,0.4,66.8,4,0
1.03,Marketing,4,21.4,0.0416,0.366,4.2,8.6,5,1
5.14,HR,4,4.6,0.0472,0.8524,45.1,7.8,1,0
1.13,HR,4,5.2,0.0446,0.3589,11.7,49.7,4,0
1.39,Operations,1,17.7,0.0263,0.7801,7.1,83.7,2,1
1.93,Engineering,3,8.1,0.0384,0.6435,37.3,22.2,5,0
0.41,Engineering,4,8.5,0.0658,0.6926,1.2,99.8,3,0
7.55,Finance,2,2.8,0.0428,0.1779,55.9,99.9,4,0
6.91,Operations,2,17.2,0.0084,0.7321,36.5,60.3,3,1
10.75,Finance,1,12.1,0.0977,0.7285,10.3,96.1,5,0
3.15,Engineering,4,6.3,0.0635,0.6932,13.8,39.3,3,0
3.97,Finance,1,5.2,0.0264,0.7211,28.0,50.2,5,0
1.24,Sales,1,19.1,0.0311,0.6154,60.0,70.3,3,1
0.1,Marketing,4,4.6,0.0899,0.9098,8.5,7.1,4,0
4.65,Finance,4,2.0,0.0166,0.4327,46.7,76.9,1,0
0.77,HR,5,19.9,0.0437,0.2243,0.8,93.7,2,0
1.01,Finance,2,20.1,0.0771,0.8573,40.8,57.0,4,1
17.43,Marketing,1,4.6,0.0384,0.327,15.1,21.9,3,0
0.58,Marketing,2,30.8,0.0349,0.7277,3.0,13.0,1,1
0.33,HR,1,7.4,0.0217,0.8987,37.8,21.8,2,1
0.27,Finance,4,4.6,0.0462,0.3842,8.1,20.1,3,0
3.74,Engineering,2,11.8,0.0418,0.5581,30.5,86.0,4,1
1.57,HR,2,2.4,0.0071,0.8168,4.9,13.7,2,0
1.42,HR,1,3.5,0.0698,0.8566,21.7,97.0,5,0
2.79,Finance,2,10.0,0.0795,0.4545,26.7,77.9,3,1
0.37,Operations,4,8.7,0.0981,0.5317,17.1,73.2,5,0
0.5,Operations,3,15.3,0.0185,0.6186,13.3,61.7,3,0
8.72,HR,1,2.8,0.0385,0.8975,20.3,4.5,4,1
7.43,Finance,1,27.3,0.0833,0.4628,11.5,71.9,4,1
2.9,Engineering,2,5.7,0.0553,0.7336,14.7,38.3,3,0
8.58,HR,1,8.4,0.0276,0.6075,14.3,12.4,3,1
0.28,Marketing,4,5.5,0.1101,0.6298,14.4,83.2,2,0
2.83,Marketing,3,2.4,0.0116,0.4564,8.2,33.3,5,0
4.0,Operations,1,7.8,0.0839,0.7461,12.2,60.2,5,1
6.49,HR,3,13.1,0.02,0.643,60.0,15.6,3,1
3.01,Operations,2,6.9,0.0506,0.7136,31.2,12.8,3,1
2.95,Operations,1,3.9,0.0277,0.464,5.5,44.7,3,0
1.21,Finance,2,15.7,0.0495,0.3307,5.1,4.3,3,1
3.85,Engineering,1,16.1,0.0504,0.6057,6.9,61.4,1,1
0.47,HR,2,6.6,0.0408,0.8487,15.5,7.9,4,0
6.83,Marketing,3,10.4,0.04,0.9222,30.2,52.3,4,0
2.38,Finance,4,15.6,0.038,0.5562,21.9,36.1,3,0
0.4,Operations,1,13.0,0.0251,0.0661,8.5,32.4,4,1
1.25,Marketing,2,10.2,0.0343,0.5891,15.6,76.9,1,1
2.18,Engineering,1,12.6,0.0919,0.9522,6.4,47.4,4,1
12.28,Operations,2,11.0,0.0191,0.559,3.8,19.4,3,0
3.95,HR,1,8.1,0.0277,0.6309,45.0,38.7,2,1
5.5,Marketing,2,2.7,0.054,0.4693,18.4,38.6,1,0
16.2,Finance,1,3.4,0.0853,0.3417,7.6,52.9,3,0
4.8,HR,4,11.3,0.0865,0.1488,1.7,64.7,4,0
0.27,Engineering,4,5.4,0.0189,0.2833,17.4,30.6,2,0
4.34,Engineering,1,11.0,0.0422,0.8445,26.6,31.4,2,1
5.2,Finance,3,2.6,0.0729,0.9254,3.5,79.4,4,0
1.32,Finance,1,4.2,0.0537,0.5653,1.8,18.0,4,0
0.62,Finance,3,6.9,0.0213,0.4021,23.2,65.4,3,0
2.85,Engineering,1,0.7,0.0117,0.704,15.6,98.8,5,0
20.0,Finance,1,3.7,0.0168,0.4326,0.7,78.2,4,0
5.37,Engineering,3,4.7,0.0564,0.815,18.9,26.7,5,0
7.17,Engineering,2,9.2,0.0372,0.7321,27.2,3.4,5,0
5.18,HR,2,6.5,0.0454,0.1344,34.6,28.9,4,1
1.49,Finance,2,9.5,0.011,0.7777,37.4,0.3,3,1
3.35,Finance,1,8.3,0.1169,0.6501,2.4,58.5,4,1
10.26,Operations,1,6.3,0.0537,0.6198,2.1,45.9,3,1
1.26,Operations,2,4.7,0.0425,0.4029,3.1,60.1,2,1
0.2,HR,2,8.5,0.0363,0.385,5.6,79.1,2,1
20.0,Marketing,1,18.7,0.0443,0.7592,2.6,23.2,2,1
1.75,Engineering,2,4.7,0.0201,0.5447,2.6,37.2,3,0
16.22,Operations,2,26.6,0.0195,0.9198,16.3,46.1,4,1
3.14,HR,3,8.7,0.0543,0.6886,11.0,76.9,5,0
2.89,Marketing,3,14.8,0.0382,0.2833,12.2,45.5,4,1
3.7,Operations,2,10.5,0.0537,0.8507,16.5,21.1,2,1
3.03,Marketing,2,11.7,0.0771,0.8297,3.2,89.6,5,0
11.5,Operations,2,3.7,0.0766,0.6216,0.7,6.3,5,0
1.9,Engineering,1,5.4,0.0668,0.6298,4.9,63.9,3,0
0.58,Sales,1,1.6,0.0481,0.6078,0.0,30.6,5,0
6.85,Finance,1,6.7,0.0738,0.4577,5.0,48.8,4,1
4.02,Finance,3,12.5,0.1001,0.6505,1.7,96.7,3,0
0.12,Engineering,1,6.8,0.032,0.4291,37.8,59.4,1,1
3.99,Marketing,2,15.4,0.0191,0.7329,2.8,67.3,4,0
5.83,Engineering,2,5.8,0.0806,0.7106,10.3,65.2,5,0
1.33,Operations,2,4.4,0.095,0.5042,7.7,71.9,2,1
1.85,Engineering,3,5.2,0.0108,0.5125,5.4,44.4,5,0
0.45,HR,3,13.3,0.0364,0.7652,3.1,1.7,2,1
1.2,Marketing,1,22.8,0.0479,0.7882,11.6,89.0,4,0
3.96,Finance,3,28.4,0.0925,0.5449,26.1,56.1,4,1
0.11,Marketing,2,12.4,0.0421,0.5216,2.0,91.3,2,1
5.24,Marketing,1,14.9,0.024,0.899,15.9,73.6,1,0
10.18,Operations,3,2.0,0.0939,0.7243,12.8,75.3,2,1
0.41,HR,3,2.6,0.075,0.5698,25.8,65.3,3,0
2.04,Operations,1,3.8,0.0094,0.4971,19.7,96.2,2,1
0.83,Finance,5,19.4,0.1062,0.7764,13.4,79.4,4,1
2.32,Operations,2,19.2,0.0628,0.7912,15.7,43.5,3,1
5.55,Marketing,2,32.7,0.0842,0.7925,37.7,27.3,3,1
3.74,Engineering,1,3.8,0.0551,0.7424,18.9,39.5,2,1
1.84,Finance,1,7.4,0.0528,0.8966,23.4,18.2,4,0
0.75,Operations,2,1.6,0.0601,0.6253,8.3,23.8,5,0
14.13,Engineering,2,2.2,0.0735,0.386,6.9,16.2,4,0
1.08,Operations,2,6.3,0.0791,0.3404,20.6,5.7,3,0
1.27,Engineering,3,3.9,0.0384,0.4505,6.7,39.3,1,0
0.02,Operations,1,4.0,0.0507,0.8129,8.9,75.9,4,0
15.58,Marketing,3,4.9,0.0273,0.6881,17.0,6.9,4,0
5.33,Engineering,3,20.9,0.0154,0.9276,60.0,64.2,1,1
6.97,Marketing,3,16.9,0.0782,0.7873,9.3,98.0,4,0
